 id Especie  Diameter Height ODB TODB Branches foliage Rand set
 175 "BALSAM FIR"  19 12 92.4 63.3 10.1 19 0.709581166763265 0
 176 "BALSAM FIR"  13.7 12.1 34.2 30.4 2.4 1.4 0.0719778041131033 1
 177 "BALSAM FIR"  19.1 13.7 85.9 72.2 8.8 4.9 0.261309249879074 0
 178 "BALSAM FIR"  21 14.2 116.4 96.9 12 7.5 0.255710330391707 0
 179 "BALSAM FIR"  19.2 12.1 108 64.1 29.9 14.1 0.43561712680813 0
 180 "BALSAM FIR"  23.2 16.2 160.1 134.1 17.7 8.4 0.180208354948162 0
 181 "BALSAM FIR"  26 14.4 220.7 154.6 39.4 26.6 0.694229644494295 0
 182 "BALSAM FIR"  14.2 10.8 58.8 42.1 11.1 5.6 0.627515294617562 0
 183 "BALSAM FIR"  8.9 9 14.9 12.5 1.6 0.8 0.152388659369403 0
 184 "BALSAM FIR"  7.9 6 9.7 2.8 2.9 3.9 0.032025097311819 1
 185 "BALSAM FIR"  7.9 6.5 9.2 4.1 1.8 3.4 0.900259228824157 0
 186 "BALSAM FIR"  6.1 5.2 5.9 3.5 0 2.5 0.671848281776255 0
 187 "BALSAM FIR"  8.1 9.5 12.2 10.4 0.3 1.4 0.897788776037988 0
 188 "BALSAM FIR"  3 2.4 2.3 0.7 0 1.6 0.995176023930531 0
 189 "BALSAM FIR"  4.8 3.8 3.3 1.5 0 1.9 0.194871164895435 0
 190 "BALSAM FIR"  4.1 3.7 2.6 1.5 0.3 0.9 0.073448355945749 1
 191 "BALSAM FIR"  4.4 4.2 2.7 1.3 0.1 1.3 0.982247950276447 0
 192 "BALSAM FIR"  1.5 2.1 0.6 0.3 0 0.3 0.44136101023249 0
 193 "BALSAM FIR"  3.8 2.6 3.6 1.1 0 2.4 0.0972901108906279 1
 194 "BALSAM FIR"  1.9 1.9 1.9 0.4 0 1.5 0.894673385867564 0
 195 "BALSAM FIR"  3.2 3 2.6 1.1 0.3 1.3 0.217150179712752 0
 196 "BALSAM FIR"  24.4 17.9 210.9 161.6 26.1 23.2 0.947767528099195 0
 197 "BALSAM FIR"  2.6 2.3 1.4 0.6 0 0.8 0.871758456090222 0
